'ANREDE';'TITEL';'GESCHLECHT';'VORNAME';'NAME';'STRASSE';'PLZ';'ORT';'EMAIL';'VORWAHL';'TELEFON';'ID';'LAND'
'Herr';'';'m';'Jonas';'Ziegler';'Am Reischauergrund 16';'4682';'Geboltskirchen';'';'';'0660 779 43 73';'71934';'AT'
'Herr';'';'m';'Jürgen';'Seiler';'Holzstrasse 23';'4881';'Straß im Attergau';'';'';'0664 906 82 12';'64158';'AT'
'Herr';'';'m';'Paul';'Lemann';'Leobnerstrasse 47';'4273';'Unterweißenbach';'';'';'0699 163 92 10';'51646';'AT'
'Frau';'';'w';'Lena';'Jager';'Litzelhofenstrasse 38';'5144';'Handenberg';'';'';'0680 420 37 24';'99504';'AT'
'Frau';'';'w';'Maria';'Sankt';'Kirchenplatz 24';'5143';'Feldkirchen bei Mattighofen';'';'';'0664 228 63 16';'25402';'AT'
'Herr';'';'m';'Steffen';'Mehler';'Libellengasse 73';'3386';'Hafnerbach';'';'';'0681 705 46 60';'82567';'AT'
'Herr';'';'m';'Jan';'Busch';'Gleichenberger Strasse 47';'4115';'Kleinzell im Mühlkreis';'';'';'0676 250 61 64';'130402';'AT'
'Frau';'';'w';'Vanessa';'Faust';'Frauentaler Strasse 11';'5760';'Saalfelden am Steinernen Meer';'';'';'0664 787 41 41';'116670';'AT'
'Frau';'';'w';'Franziska';'Abend';'Völkermarkter Strasse 35';'8054';'Graz-Straßgang';'';'';'0680 626 59 98';'39511';'AT'
'Herr';'';'m';'Jörg';'Hoover';'Marktplatz 51';'4312';'Ried in der Riedmark';'';'';'0650 423 66 92';'99122';'AT'
'Herr';'';'m';'Alexander';'Propst';'Zeppelinstr 62';'5122';'Ach';'';'';'0660 583 17 59';'56960';'AT'
'Frau';'';'w';'Jennifer';'Bosch';'Alpenstrasse 5';'7542';'Gerersdorf bei Güssing';'';'';'0680 558 66 98';'96920';'AT'
'Herr';'';'m';'Stefan';'Zimmerman';'Lettental 24';'2871';'Zöbern';'';'';'0680 506 84 54';'64981';'AT'
'Herr';'';'m';'Ralph';'Pfeffer';'Lebzeltergasse 96';'4407';'Steyr-Gleink';'';'';'0650 521 77 07';'4744';'AT'
'Frau';'';'w';'Brigitte';'Vogler';'Thayapark 51';'5741';'Neukirchen am Großvenediger';'';'';'0676 897 35 71';'194872';'AT'
'Frau';'';'w';'Barbara';'Pfaff';'Druckereistrasse 10';'9556';'Liebenfels';'';'';'0660 672 70 80';'149072';'AT'
'Frau';'';'w';'Franziska';'Reinhardt';'Passauer Strasse 22';'5222';'Munderfing';'';'';'0681 349 48 05';'45904';'AT'
'Frau';'';'w';'Sara';'Maurer';'Himmelpfortgasse 97';'9631';'Jenig';'';'';'0664 192 57 29';'121874';'AT'
'Frau';'';'w';'Claudia';'Naumann';'Frauentaler Strasse 93';'4682';'Geboltskirchen';'';'';'0676 497 11 70';'71378';'AT'
'Frau';'';'w';'Annett';'Muller';'Holzschachen 40';'8750';'Judenburg';'';'';'0680 282 69 10';'64869';'AT'
'Herr';'';'m';'Mario';'Hoffmann';'Gewerbestrasse 88';'4891';'Pöndorf';'';'';'0664 768 92 75';'130016';'AT'
'Frau';'';'w';'Kerstin';'Eisenberg';'Hausergasse 47';'5571';'Mariapfarr';'';'';'0676 544 70 28';'128367';'AT'
'Herr';'';'m';'Kevin';'Lange';'Leobnerstrasse 13';'8770';'St. Michael in Obersteiermark';'';'';'0688 736 00 05';'62511';'AT'
'Frau';'';'w';'Juliane';'Schweizer';'An Der Bundesstrasse 67';'4191';'Vorderweißenbach';'';'';'0676 702 70 51';'93002';'AT'
'Herr';'';'m';'Marko';'Weber';'Hauptstrasse 19';'9441';'Twimberg';'';'';'0699 259 90 81';'52916';'AT'
'Herr';'';'m';'Peter';'Kluge';'Kornstrasse 60';'7423';'Pinkafeld';'';'';'0650 649 83 91';'166590';'AT'
'Frau';'';'w';'Mandy';'Faust';'Laxenburger Strasse 83';'6383';'Erpfendorf';'';'';'0688 133 60 86';'26447';'AT'
'Frau';'';'w';'Christina';'Faber';'Widnau 96';'7543';'Kukmirn';'';'';'0676 789 91 28';'89876';'AT'
'Herr';'';'m';'Leon';'Nagel';'Lucasweg 70';'4623';'Gunskirchen';'';'';'0664 808 44 74';'111366';'AT'
'Dr.';'';'m';'Tim';'Klug';'Wagramer Strasse 73';'3564';'Plank am Kamp';'';'';'0680 997 65 22';'160615';'AT'
'Herr';'';'m';'Marko';'Gaertner';'Grüne Lagune 39';'4761';'Enzenkirchen';'';'';'0650 686 35 99';'64208';'AT'
'Frau';'';'w';'Anja';'Schmid';'An Der Bundesstrasse 4';'8770';'St. Michael in Obersteiermark';'';'';'0680 637 62 26';'46097';'AT'
'Frau';'';'w';'Sabine';'Gerber';'Ackerweg 46';'2860';'Kirchschlag in der Buckligen Welt';'';'';'0699 958 64 79';'198504';'AT'
'Frau';'';'w';'Anna';'Kuster';'Stadionstrasse 75';'4294';'St. Leonhard bei Freistadt';'';'';'0681 554 83 49';'155229';'AT'
'Herr';'';'m';'Patrick';'Schulze';'Markt 79';'3250';'Wieselburg';'';'';'0676 584 47 57';'186585';'AT'
'Frau';'';'w';'Yvonne';'Hertz';'Gesäusestrasse 11';'8421';'Wolfsberg im Schwarzautal';'';'';'0688 973 40 67';'168204';'AT'
'Herr';'';'m';'Lukas';'Moeller';'Davidschlag 78';'8265';'Großsteinbach';'';'';'0676 854 25 69';'101468';'AT'
'Herr';'';'m';'Mario';'Decker';'Thayapark 50';'5273';'Roßbach';'';'';'0650 710 43 45';'33888';'AT'
'Dr.';'';'w';'Jennifer';'Frey';'Salzburgerstrasse 86';'3232';'Bischofstetten';'';'';'0660 760 76 30';'36299';'AT'
'Frau';'';'w';'Christine';'Cole';'Stubengraben 99';'3281';'Oberndorf an der Melk';'';'';'0650 985 58 69';'11741';'AT'
'Herr';'';'m';'Ulrich';'Kohl';'Libellengasse 47';'6822';'Satteins';'';'';'0650 183 82 34';'76494';'AT'
'Frau';'';'w';'Katrin';'Gersten';'Gartenweg 87';'5251';'Höhnhart';'';'';'0676 491 32 31';'127873';'AT'
'Herr';'';'m';'Maximilian';'Lemann';'Pazmaniteng 75';'8121';'Deutschfeistritz';'';'';'0676 377 21 74';'116420';'AT'
'Frau';'';'w';'Karolin';'Baer';'Wiedner Hauptstrasse 35';'3072';'Kasten bei Böheimkirchen';'';'';'0699 837 85 99';'1043';'AT'
'Frau';'';'w';'Sabine';'Wirtz';'Stadionstrasse 14';'3100';'St. Pölten';'';'';'0676 732 59 16';'24688';'AT'
'Herr';'';'m';'Swen';'Loewe';'An Der Bundesstrasse 72';'9441';'Twimberg';'';'';'0699 679 13 68';'9975';'AT'
'Herr';'';'m';'Martin';'Ostermann';'Wiehtestrasse 58';'8481';'Weinburg am Saßbach';'';'';'0681 670 31 78';'163204';'AT'
'Herr';'';'m';'Dieter';'Ebersbacher';'Waldstrasse 45';'4101';'Feldkirchen an der Donau';'';'';'0660 356 22 26';'191446';'AT'
'Frau';'';'w';'Karin';'Wurfel';'Huttenstrasse 81';'9536';'St. Egyden';'';'';'0681 708 46 23';'69940';'AT'
'Frau';'';'w';'Sarah';'Theissen';'Glocknerstrasse 53';'4463';'Großraming';'';'';'0650 286 35 23';'8142';'AT'
'Frau';'';'w';'Katrin';'Krüger';'Riedbergstrasse 85';'4180';'Zwettl an der Rodl';'';'';'0650 859 82 76';'186847';'AT'
'Frau';'';'w';'Katrin';'Burger';'Neuhofer Strasse 65';'5251';'Höhnhart';'';'';'0680 515 42 97';'50812';'AT'
'Frau';'';'w';'Anne';'Ackermann';'Pertholzer Strasse 84';'3631';'Ottenschlag';'';'';'0681 436 94 29';'153893';'AT'
'Herr';'';'m';'Christian';'Koehler';'Lucasweg 26';'9220';'Velden am Wörther See';'';'';'0650 483 21 62';'171810';'AT'
'Frau';'';'w';'Brigitte';'Bauer';'Lindenstrasse 88';'9345';'Kleinglödnitz';'';'';'0650 506 25 82';'2789';'AT'
'Frau';'';'w';'Jennifer';'Eichelberger';'Pottendorfer Strasse 94';'4623';'Gunskirchen';'';'';'0650 778 95 66';'54811';'AT'
'Herr';'';'m';'Jan';'Maur';'Litzelhofenstrasse 16';'4652';'Steinerkirchen an der Traun';'';'';'0681 703 60 90';'185155';'AT'
'Frau';'';'w';'Marie';'Fruehauf';'Alpenstrasse 97';'8685';'Steinhaus am Semmering';'';'';'0676 954 35 83';'162008';'AT'
'Herr';'';'m';'Tim';'Eberhart';'Favoritenstrasse 30';'5221';'Lochen am See';'';'';'0681 454 88 96';'67354';'AT'
'Frau';'';'w';'Sara';'Kuster';'Favoritenstrasse 92';'3623';'Kottes';'';'';'0660 107 19 34';'90913';'AT'
'Herr';'';'m';'Patrick';'Ritter';'Floridusgasse 95';'3860';'Heidenreichstein';'';'';'0660 613 11 58';'118819';'AT'
'Frau';'';'w';'Christine';'Abt';'Prager Strasse 89';'4532';'Rohr im Kremstal';'';'';'0681 694 07 94';'32128';'AT'
'Frau';'';'w';'Sabine';'Duerr';'Bahnhofstrasse 95';'9374';'Wieting';'';'';'0699 482 07 09';'187709';'AT'
'Frau';'';'w';'Uta';'Boehm';'Linzer Strasse 33';'4100';'Ottensheim';'';'';'0676 304 55 81';'135983';'AT'
'Frau';'';'w';'Andrea';'Ebersbach';'Gunzing 9';'6410';'Telfs';'';'';'0681 556 58 81';'49988';'AT'
'Frau';'';'w';'Doreen';'Bachmeier';'Kelsenstrasse 1';'3261';'Steinakirchen am Forst';'';'';'0664 927 87 52';'29297';'AT'
'Frau';'';'w';'Karolin';'Schwab';'Wagramer Strasse 28';'3443';'Sieghartskirchen';'';'';'0699 583 09 41';'40823';'AT'
'Frau';'';'w';'Sandra';'Moench';'Gewerbepark 36';'5622';'Goldegg';'';'';'0664 474 36 92';'85456';'AT'
'Frau';'';'w';'Marina';'Frey';'Hadikgasse 89';'9343';'Zweinitz';'';'';'0664 247 98 11';'72650';'AT'
'Herr';'';'m';'Andreas';'Maurer';'Lindenstrasse 36';'9813';'Möllbrücke';'';'';'0688 437 76 51';'33019';'AT'
'Frau';'';'w';'Vanessa';'Walter';'Laxenburger Strasse 89';'9562';'Himmelberg';'';'';'0660 836 81 23';'168480';'AT'
'Herr';'';'m';'Leon';'Kirsch';'Galgenau 42';'8184';'Anger';'';'';'0676 796 82 26';'180292';'AT'
'Herr';'';'m';'Stephan';'Schultz';'Bremschlstrasse 38';'5121';'Ostermiething';'';'';'0699 192 97 39';'78085';'AT'
'Frau';'';'w';'Manuela';'Schmitt';'Wiener Strasse 55';'4083';'Haibach ob der Donau';'';'';'0660 327 09 77';'81092';'AT'
'Frau';'';'w';'Anne';'Kappel';'Wiedner Hauptstrasse 32';'3144';'Wald';'';'';'0688 419 52 61';'58105';'AT'
'Herr';'';'m';'Stephan';'Bürger';'An Der Schütt 73';'3383';'Hürm';'';'';'0681 332 56 75';'177329';'AT'
'Herr';'';'m';'Ulrich';'Koehler';'Ausserpühret 57';'4713';'Gallspach';'';'';'0676 501 97 63';'114709';'AT'
'Frau';'';'w';'Johanna';'Becker';'Im Astenfeld 80';'9560';'Feldkirchen in Kärnten';'';'';'0699 631 79 08';'127231';'AT'
'Herr';'';'m';'Frank';'Ritter';'Bahnhofstrasse 45';'2753';'Markt Piesting';'';'';'0664 561 30 94';'50230';'AT'
'Herr';'';'m';'Stephan';'Eisenhower';'Bonygasse 65';'4632';'Pichl bei Wels';'';'';'0688 219 59 59';'141336';'AT'
'Herr';'';'m';'Erik';'Feierabend';'Leobnerstrasse 87';'9400';'Wolfsberg';'';'';'0660 323 86 25';'163913';'AT'
'Herr';'';'m';'Tom';'Jung';'Bahngasse 38';'9131';'Grafenstein';'';'';'0664 930 90 89';'172570';'AT'
'Herr';'';'m';'Lucas';'Meister';'Schützengartenstrasse 94';'4175';'Herzogsdorf';'';'';'0688 356 14 93';'64168';'AT'
'Herr';'';'m';'Markus';'Herrmann';'Ybbsstrasse 23';'8904';'Ardning';'';'';'0676 348 03 82';'27358';'AT'
'Herr';'';'m';'Felix';'Schmitz';'Sternhofweg 15';'9622';'Weißbriach';'';'';'0650 907 14 00';'29721';'AT'
'Dr.';'';'m';'Felix';'Mauer';'Templstrasse 18';'5142';'Eggelsberg';'';'';'0650 649 78 29';'190531';'AT'
'Frau';'';'w';'Sara';'Sanger';'Traungasse 90';'4122';'Arnreit';'';'';'0664 399 05 11';'104933';'AT'
'Frau';'';'w';'Christin';'Farber';'Faerberplatz 28';'9161';'Maria Rain';'';'';'0650 359 79 68';'24516';'AT'
'Herr';'';'m';'Dirk';'Finkel';'Neuhofer Strasse 53';'8102';'Semriach';'';'';'0699 230 55 92';'19300';'AT'
'Herr';'';'m';'Ralf';'Eisenhower';'Brünner Strasse 35';'3413';'Hintersdorf';'';'';'0688 943 15 23';'150786';'AT'
'Frau';'';'w';'Nadine';'Fassbinder';'Wiener Strasse 2';'4201';'Gramastetten';'';'';'0664 283 06 54';'31675';'AT'
'Frau';'';'w';'Marie';'Schuhmacher';'Glocknerstrasse 97';'687a';'';'';'';'0676 394 76 54';'39169';'AT'
'Frau';'';'w';'Johanna';'Schmitz';'Aspernstrasse 31';'4923';'Lohnsburg';'';'';'0676 392 91 95';'82297';'AT'
'Herr';'';'m';'Ralf';'Holtzmann';'Leobnerstrasse 65';'8624';'Au';'';'';'0664 113 54 60';'38877';'AT'
'Herr';'';'m';'Welf';'Gerlich';'Laschenhütte';'84175';'Gerzen';'';'';'08744/84189214';'33353';'DE'
'Frau';'';'w';'Kerstin';'Kaufmann';'Bahngasse 73';'4175';'Herzogsdorf';'';'';'0660 249 98 14';'110397';'AT'
'Frau';'';'w';'Annett';'Gloeckner';'Krummnussbaum Dub 98';'4910';'Ried im Innkreis';'';'';'0680 610 29 27';'35342';'AT'
'Frau';'';'w';'Melanie';'Pfeffer';'Stubengraben 6';'2564';'Weissenbach an der Triesting';'';'';'0688 262 80 88';'27696';'AT'
'Frau';'';'w';'Janina';'Friedman';'Brünner Strasse 39';'9761';'Greifenburg';'';'';'0650 212 84 59';'96119';'AT'
'Herr';'';'m';'Tim';'Meyer';'Diemröth 59';'2801';'Katzelsdorf';'';'';'0688 342 64 66';'171309';'AT'
'Herr';'';'m';'Christian';'Frankfurter';'Blaue Lagune 64';'4943';'Geinberg';'';'';'0650 907 66 99';'74484';'AT'
'Herr';'';'m';'Max';'Fuhrmann';'Bremschlstrasse 20';'4615';'Holzhausen';'';'';'0680 617 53 79';'168756';'AT'
'Frau';'';'w';'Karolin';'Schuster';'Frauentaler Strasse 34';'8700';'Leoben';'';'';'0680 494 49 23';'93066';'AT'
'Herr';'';'m';'Matthias';'Schroeder';'Rossmarkt 61';'9560';'Feldkirchen in Kärnten';'';'';'0688 292 97 25';'166308';'AT'
'Frau';'';'w';'Katharina';'Rothstein';'Parkring 93';'2564';'Weissenbach an der Triesting';'';'';'0660 560 83 66';'53488';'AT'
'Herr';'';'m';'Frank';'Moeller';'Pottenbrunner Hauptstrasse 66';'4084';'St. Agatha';'';'';'0676 849 56 98';'60899';'AT'
'Herr';'';'m';'Mathias';'Schmitt';'Ausserpühret 1';'3524';'Grainbrunn';'';'';'0699 175 91 42';'132584';'AT'
'Herr';'';'m';'Marco';'Schwartz';'Favoritenstrasse 65';'4173';'St. Veit im Mühlkreis';'';'';'0664 843 90 74';'150857';'AT'
'Herr';'';'m';'Ralf';'Weiß';'Gewerbepark 61';'9232';'Rosegg';'';'';'0650 541 27 50';'35900';'AT'
'Herr';'';'m';'Lukas';'Muller';'Am Reischauergrund 57';'4863';'Seewalchen am Attersee';'';'';'0699 356 37 74';'34663';'AT'
'Herr';'';'m';'Maik';'Lehrer';'Blaue Lagune 69';'9652';'Birnbaum';'';'';'0676 906 70 02';'77866';'AT'
'Herr';'';'m';'Markus';'Koertig';'Schallmooser Hauptstrasse 28';'2602';'Blumau-Neurißhof';'';'';'0676 158 26 84';'150757';'AT'
'Herr';'';'m';'Philipp';'Koehler';'Mattersburger Strasse 23';'3652';'Leiben';'';'';'0650 743 93 23';'64947';'AT'
'Dr.';'';'m';'Markus';'Herrmann';'Stollenstrasse 31';'2000';'Stockerau';'';'';'0699 555 71 04';'153227';'AT'
'Herr';'';'m';'Philipp';'Herzog';'Pottenbrunner Hauptstrasse 15';'4040';'Linz';'';'';'0660 303 10 01';'57886';'AT'
'Herr';'';'m';'Paul';'Schuhmacher';'Kimpling 67';'3714';'Sitzendorf an der Schmida';'';'';'0680 331 23 59';'159605';'AT'
'Frau';'';'w';'Karolin';'Klug';'Aspernstrasse 96';'9470';'St. Paul im Lavanttal';'';'';'0680 640 74 93';'23902';'AT'
'Frau';'';'w';'Yvonne';'Moeller';'Wassergasse 94';'4812';'Pinsdorf';'';'';'0650 824 87 69';'173482';'AT'
'Herr';'';'m';'Robert';'Faust';'Magdalenaweg 90';'9433';'St. Andrä';'';'';'0688 245 56 02';'77815';'AT'
'Frau';'';'w';'Simone';'Himmel';'Steinfelden 35';'9544';'Feld am See';'';'';'0699 723 94 10';'40914';'AT'
'Frau';'';'w';'Jessica';'Weiß';'Dreiheiligenstrasse 6';'9562';'Himmelberg';'';'';'0681 852 42 32';'146782';'AT'
'Dr.';'';'m';'Torsten';'Kalb';'Bahngasse 74';'3041';'Asperhofen';'';'';'0664 703 96 99';'137548';'AT'
'Herr';'';'m';'Niklas';'Ziegler';'An Der Schütt 63';'5310';'Mondsee';'';'';'0680 375 27 91';'143594';'AT'
'Frau';'';'w';'Ute';'Eberhardt';'Gartenweg 17';'8412';'Allerheiligen bei Wildon';'';'';'0650 838 09 67';'40799';'AT'
'Herr';'';'m';'Daniel';'Bader';'Dreimühlenweg 39';'2671';'Küb';'';'';'0699 205 14 83';'38225';'AT'
'Frau';'';'w';'Doreen';'Weiß';'Kimpling 91';'8643';'Allerheiligen im Mürztal';'';'';'0699 225 27 80';'42167';'AT'
'Herr';'';'m';'Dirk';'Frankfurter';'Am Reischauergrund 91';'9620';'Hermagor';'';'';'0664 910 35 57';'52334';'AT'
'Frau';'';'w';'Uta';'Keller';'Gralla 53';'8355';'Tieschen';'';'';'0688 270 76 71';'72867';'AT'
'Herr';'';'m';'Robert';'Frankfurter';'Brucker Bundesstrasse 98';'2565';'Neuhaus';'';'';'0676 122 16 65';'116154';'AT'
'Frau';'';'w';'Tanja';'Berg';'Am Reischauergrund 78';'4175';'Herzogsdorf';'';'';'0681 566 73 64';'60209';'AT'
'Herr';'';'m';'David';'Dietrich';'Stubengraben 30';'9360';'Friesach';'';'';'0664 477 79 00';'124920';'AT'
'Frau';'';'w';'Jennifer';'Eisenhower';'Schlösslstrasse 72';'3562';'Schönberg';'';'';'0660 725 01 17';'98896';'AT'
'Herr';'';'m';'Christian';'Scherer';'Alte Poststrasse 87';'3680';'Persenbeug';'';'';'0660 400 22 73';'75725';'AT'
'Frau';'';'w';'Christine';'Weiß';'Ernstbrunner Strasse 25';'4312';'Ried in der Riedmark';'';'';'0676 790 01 72';'6645';'AT'
'Frau';'';'w';'Jessica';'Koenig';'Obdacher Bundesstrasse 63';'4674';'Altenhof am Hausruck';'';'';'0650 794 24 54';'47795';'AT'
'Frau';'';'w';'Susanne';'Frei';'Prager Strasse 74';'4623';'Gunskirchen';'';'';'0664 383 03 46';'61007';'AT'
'Frau';'';'w';'Claudia';'Achen';'Kärntner Strasse 99';'3212';'Schwarzenbach an der Pielach';'';'';'0680 403 63 00';'114158';'AT'
'Herr';'';'m';'Sebastian';'Reinhard';'Hausergasse 28';'3370';'Ybbs an der Donau';'';'';'0680 509 25 85';'88316';'AT'
'Frau';'';'w';'Katharina';'Unger';'Kornstrasse 80';'4523';'Neuzeug';'';'';'0660 485 53 53';'69432';'AT'
'Frau';'';'w';'Birgit';'Schmid';'Huttenstrasse 51';'9556';'Liebenfels';'';'';'0688 859 14 16';'36303';'AT'
'Frau';'';'w';'Tanja';'Bieber';'Gralla 22';'2042';'Guntersdorf';'';'';'0650 252 84 01';'141779';'AT'
'Herr';'';'m';'Maik';'Wexler';'Kuefsteinstrasse 87';'8160';'Weiz';'';'';'0688 832 87 73';'175224';'AT'
'Herr';'';'m';'Michael';'Kohler';'Waldstrasse 25';'6364';'Brixen im Thale';'';'';'0660 600 45 61';'149712';'AT'
'Herr';'';'m';'Dominik';'Wexler';'Stollenstrasse 39';'2295';'Oberweiden';'';'';'0688 499 63 32';'33215';'AT'
'Herr';'';'m';'Lucas';'Feierabend';'Schachterlweg 10';'9710';'Feistritz an der Drau';'';'';'0680 169 81 82';'189929';'AT'
